date,route_code,route_name,vessel_type,rate_per_barrel,currency
2020-03-06,TC1,UK Continent to US Atlantic,VLCC,13.484,USD
2020-03-07,TC1,UK Continent to US Atlantic,VLCC,13.205,USD
2020-03-08,TC1,UK Continent to US Atlantic,VLCC,13.276,USD
2020-03-09,TC1,UK Continent to US Atlantic,VLCC,13.065,USD
2020-03-10,TC1,UK Continent to US Atlantic,VLCC,13.224,USD
2020-03-11,TC1,UK Continent to US Atlantic,VLCC,13.09,USD
2020-03-12,TC1,UK Continent to US Atlantic,VLCC,13.049,USD
2020-03-13,TC1,UK Continent to US Atlantic,VLCC,13.284,USD
2020-03-14,TC1,UK Continent to US Atlantic,VLCC,13.359,USD
2020-03-15,TC1,UK Continent to US Atlantic,VLCC,13.148,USD
2020-03-16,TC1,UK Continent to US Atlantic,VLCC,12.95,USD
2020-03-17,TC1,UK Continent to US Atlantic,VLCC,12.829,USD
2020-03-18,TC1,UK Continent to US Atlantic,VLCC,12.888,USD
2020-03-19,TC1,UK Continent to US Atlantic,VLCC,12.94,USD
2020-03-20,TC1,UK Continent to US Atlantic,VLCC,12.773,USD
2020-03-21,TC1,UK Continent to US Atlantic,VLCC,12.549,USD
2020-03-22,TC1,UK Continent to US Atlantic,VLCC,12.588,USD
2020-03-23,TC1,UK Continent to US Atlantic,VLCC,12.543,USD
2020-03-24,TC1,UK Continent to US Atlantic,VLCC,12.921,USD
2020-03-25,TC1,UK Continent to US Atlantic,VLCC,12.911,USD
2020-03-26,TC1,UK Continent to US Atlantic,VLCC,13.222,USD
2020-03-27,TC1,UK Continent to US Atlantic,VLCC,12.991,USD
2020-03-28,TC1,UK Continent to US Atlantic,VLCC,12.688,USD
2020-03-29,TC1,UK Continent to US Atlantic,VLCC,12.469,USD
2020-03-30,TC1,UK Continent to US Atlantic,VLCC,12.67,USD
2020-03-31,TC1,UK Continent to US Atlantic,VLCC,12.971,USD
2020-04-01,TC1,UK Continent to US Atlantic,VLCC,12.809,USD
2020-04-02,TC1,UK Continent to US Atlantic,VLCC,12.707,USD
2020-04-03,TC1,UK Continent to US Atlantic,VLCC,12.477,USD
2020-04-04,TC1,UK Continent to US Atlantic,VLCC,12.133,USD
2020-04-05,TC1,UK Continent to US Atlantic,VLCC,12.249,USD
2020-04-06,TC1,UK Continent to US Atlantic,VLCC,12.274,USD
2020-04-07,TC1,UK Continent to US Atlantic,VLCC,12.26,USD
2020-04-08,TC1,UK Continent to US Atlantic,VLCC,11.991,USD
2020-04-09,TC1,UK Continent to US Atlantic,VLCC,12.273,USD
2020-04-10,TC1,UK Continent to US Atlantic,VLCC,12.165,USD
2020-04-11,TC1,UK Continent to US Atlantic,VLCC,12.245,USD
2020-04-12,TC1,UK Continent to US Atlantic,VLCC,11.964,USD
2020-04-13,TC1,UK Continent to US Atlantic,VLCC,11.914,USD
2020-04-14,TC1,UK Continent to US Atlantic,VLCC,11.951,USD
2020-04-15,TC1,UK Continent to US Atlantic,VLCC,11.994,USD
2020-04-16,TC1,UK Continent to US Atlantic,VLCC,12.005,USD
2020-04-17,TC1,UK Continent to US Atlantic,VLCC,12.077,USD
2020-04-18,TC1,UK Continent to US Atlantic,VLCC,11.854,USD
2020-04-19,TC1,UK Continent to US Atlantic,VLCC,11.873,USD
2020-04-20,TC1,UK Continent to US Atlantic,VLCC,11.876,USD
2020-04-21,TC1,UK Continent to US Atlantic,VLCC,11.9,USD
2020-04-22,TC1,UK Continent to US Atlantic,VLCC,11.894,USD
2020-04-23,TC1,UK Continent to US Atlantic,VLCC,11.645,USD
2020-04-24,TC1,UK Continent to US Atlantic,VLCC,11.39,USD
2020-04-25,TC1,UK Continent to US Atlantic,VLCC,10.975,USD
2020-04-26,TC1,UK Continent to US Atlantic,VLCC,11.112,USD
2020-04-27,TC1,UK Continent to US Atlantic,VLCC,11.249,USD
2020-04-28,TC1,UK Continent to US Atlantic,VLCC,11.387,USD
2020-04-29,TC1,UK Continent to US Atlantic,VLCC,11.426,USD
2020-04-30,TC1,UK Continent to US Atlantic,VLCC,11.024,USD
2020-05-01,TC1,UK Continent to US Atlantic,VLCC,10.825,USD
2020-05-02,TC1,UK Continent to US Atlantic,VLCC,10.844,USD
2020-05-03,TC1,UK Continent to US Atlantic,VLCC,10.856,USD
2020-05-04,TC1,UK Continent to US Atlantic,VLCC,10.803,USD
2020-05-05,TC1,UK Continent to US Atlantic,VLCC,10.858,USD
2020-05-06,TC1,UK Continent to US Atlantic,VLCC,10.847,USD
2020-05-07,TC1,UK Continent to US Atlantic,VLCC,10.855,USD
2020-05-08,TC1,UK Continent to US Atlantic,VLCC,10.725,USD
2020-05-09,TC1,UK Continent to US Atlantic,VLCC,10.89,USD
2020-05-10,TC1,UK Continent to US Atlantic,VLCC,10.797,USD
2020-05-11,TC1,UK Continent to US Atlantic,VLCC,10.542,USD
2020-05-12,TC1,UK Continent to US Atlantic,VLCC,10.391,USD
2020-05-13,TC1,UK Continent to US Atlantic,VLCC,10.317,USD
2020-05-14,TC1,UK Continent to US Atlantic,VLCC,10.486,USD
2020-05-15,TC1,UK Continent to US Atlantic,VLCC,10.467,USD
2020-05-16,TC1,UK Continent to US Atlantic,VLCC,10.42,USD
2020-05-17,TC1,UK Continent to US Atlantic,VLCC,10.183,USD
2020-05-18,TC1,UK Continent to US Atlantic,VLCC,10.314,USD
2020-05-19,TC1,UK Continent to US Atlantic,VLCC,10.185,USD
2020-05-20,TC1,UK Continent to US Atlantic,VLCC,10.156,USD
2020-05-21,TC1,UK Continent to US Atlantic,VLCC,10.413,USD
2020-05-22,TC1,UK Continent to US Atlantic,VLCC,10.492,USD
2020-05-23,TC1,UK Continent to US Atlantic,VLCC,10.183,USD
2020-05-24,TC1,UK Continent to US Atlantic,VLCC,9.852,USD
2020-05-25,TC1,UK Continent to US Atlantic,VLCC,9.832,USD
2020-05-26,TC1,UK Continent to US Atlantic,VLCC,9.605,USD
2020-05-27,TC1,UK Continent to US Atlantic,VLCC,9.715,USD
2020-05-28,TC1,UK Continent to US Atlantic,VLCC,9.715,USD
2020-05-29,TC1,UK Continent to US Atlantic,VLCC,9.738,USD
2020-05-30,TC1,UK Continent to US Atlantic,VLCC,9.602,USD
2020-05-31,TC1,UK Continent to US Atlantic,VLCC,9.909,USD
2020-06-01,TC1,UK Continent to US Atlantic,VLCC,10.413,USD
2020-06-02,TC1,UK Continent to US Atlantic,VLCC,10.347,USD
2020-06-03,TC1,UK Continent to US Atlantic,VLCC,10.396,USD
2020-06-04,TC1,UK Continent to US Atlantic,VLCC,10.398,USD
2020-06-05,TC1,UK Continent to US Atlantic,VLCC,10.336,USD
2020-06-06,TC1,UK Continent to US Atlantic,VLCC,10.17,USD
2020-06-07,TC1,UK Continent to US Atlantic,VLCC,9.961,USD
2020-06-08,TC1,UK Continent to US Atlantic,VLCC,9.744,USD
2020-06-09,TC1,UK Continent to US Atlantic,VLCC,9.808,USD
2020-06-10,TC1,UK Continent to US Atlantic,VLCC,9.703,USD
2020-06-11,TC1,UK Continent to US Atlantic,VLCC,9.228,USD
2020-06-12,TC1,UK Continent to US Atlantic,VLCC,9.304,USD
2020-06-13,TC1,UK Continent to US Atlantic,VLCC,9.292,USD
2020-06-14,TC1,UK Continent to US Atlantic,VLCC,9.53,USD
2020-06-15,TC1,UK Continent to US Atlantic,VLCC,9.589,USD
2020-06-16,TC1,UK Continent to US Atlantic,VLCC,9.314,USD
2020-06-17,TC1,UK Continent to US Atlantic,VLCC,8.905,USD
2020-06-18,TC1,UK Continent to US Atlantic,VLCC,8.774,USD
2020-06-19,TC1,UK Continent to US Atlantic,VLCC,8.66,USD
2020-06-20,TC1,UK Continent to US Atlantic,VLCC,8.832,USD
2020-06-21,TC1,UK Continent to US Atlantic,VLCC,8.829,USD
2020-06-22,TC1,UK Continent to US Atlantic,VLCC,9.033,USD
2020-06-23,TC1,UK Continent to US Atlantic,VLCC,8.791,USD
2020-06-24,TC1,UK Continent to US Atlantic,VLCC,8.965,USD
2020-06-25,TC1,UK Continent to US Atlantic,VLCC,9.093,USD
2020-06-26,TC1,UK Continent to US Atlantic,VLCC,8.725,USD
2020-06-27,TC1,UK Continent to US Atlantic,VLCC,8.964,USD
2020-06-28,TC1,UK Continent to US Atlantic,VLCC,8.979,USD
2020-06-29,TC1,UK Continent to US Atlantic,VLCC,9.048,USD
2020-06-30,TC1,UK Continent to US Atlantic,VLCC,8.889,USD
2020-07-01,TC1,UK Continent to US Atlantic,VLCC,9.119,USD
2020-07-02,TC1,UK Continent to US Atlantic,VLCC,8.901,USD
2020-07-03,TC1,UK Continent to US Atlantic,VLCC,9.051,USD
2020-07-04,TC1,UK Continent to US Atlantic,VLCC,9.197,USD
2020-07-05,TC1,UK Continent to US Atlantic,VLCC,9.017,USD
2020-07-06,TC1,UK Continent to US Atlantic,VLCC,9.374,USD
2020-07-07,TC1,UK Continent to US Atlantic,VLCC,9.41,USD
2020-07-08,TC1,UK Continent to US Atlantic,VLCC,9.523,USD
2020-07-09,TC1,UK Continent to US Atlantic,VLCC,9.241,USD
2020-07-10,TC1,UK Continent to US Atlantic,VLCC,9.62,USD
2020-07-11,TC1,UK Continent to US Atlantic,VLCC,9.392,USD
2020-07-12,TC1,UK Continent to US Atlantic,VLCC,9.573,USD
2020-07-13,TC1,UK Continent to US Atlantic,VLCC,9.387,USD
2020-07-14,TC1,UK Continent to US Atlantic,VLCC,9.271,USD
2020-07-15,TC1,UK Continent to US Atlantic,VLCC,9.41,USD
2020-07-16,TC1,UK Continent to US Atlantic,VLCC,9.592,USD
2020-07-17,TC1,UK Continent to US Atlantic,VLCC,9.357,USD
2020-07-18,TC1,UK Continent to US Atlantic,VLCC,9.551,USD
2020-07-19,TC1,UK Continent to US Atlantic,VLCC,9.735,USD
2020-07-20,TC1,UK Continent to US Atlantic,VLCC,9.559,USD
2020-07-21,TC1,UK Continent to US Atlantic,VLCC,9.844,USD
2020-07-22,TC1,UK Continent to US Atlantic,VLCC,9.573,USD
2020-07-23,TC1,UK Continent to US Atlantic,VLCC,9.456,USD
2020-07-24,TC1,UK Continent to US Atlantic,VLCC,9.54,USD
2020-07-25,TC1,UK Continent to US Atlantic,VLCC,9.383,USD
2020-07-26,TC1,UK Continent to US Atlantic,VLCC,9.429,USD
2020-07-27,TC1,UK Continent to US Atlantic,VLCC,9.471,USD
2020-07-28,TC1,UK Continent to US Atlantic,VLCC,9.436,USD
2020-07-29,TC1,UK Continent to US Atlantic,VLCC,9.585,USD
2020-07-30,TC1,UK Continent to US Atlantic,VLCC,9.542,USD
2020-07-31,TC1,UK Continent to US Atlantic,VLCC,9.582,USD
2020-08-01,TC1,UK Continent to US Atlantic,VLCC,9.788,USD
2020-08-02,TC1,UK Continent to US Atlantic,VLCC,9.927,USD
2020-08-03,TC1,UK Continent to US Atlantic,VLCC,10.065,USD
2020-08-04,TC1,UK Continent to US Atlantic,VLCC,9.852,USD
2020-08-05,TC1,UK Continent to US Atlantic,VLCC,9.944,USD
2020-08-06,TC1,UK Continent to US Atlantic,VLCC,9.781,USD
2020-08-07,TC1,UK Continent to US Atlantic,VLCC,9.548,USD
2020-08-08,TC1,UK Continent to US Atlantic,VLCC,9.536,USD
2020-08-09,TC1,UK Continent to US Atlantic,VLCC,9.374,USD
2020-08-10,TC1,UK Continent to US Atlantic,VLCC,9.521,USD
2020-08-11,TC1,UK Continent to US Atlantic,VLCC,9.671,USD
2020-08-12,TC1,UK Continent to US Atlantic,VLCC,9.328,USD
2020-08-13,TC1,UK Continent to US Atlantic,VLCC,9.183,USD
2020-08-14,TC1,UK Continent to US Atlantic,VLCC,8.927,USD
2020-08-15,TC1,UK Continent to US Atlantic,VLCC,8.853,USD
2020-08-16,TC1,UK Continent to US Atlantic,VLCC,8.946,USD
2020-08-17,TC1,UK Continent to US Atlantic,VLCC,8.913,USD
2020-08-18,TC1,UK Continent to US Atlantic,VLCC,8.817,USD
2020-08-19,TC1,UK Continent to US Atlantic,VLCC,9.065,USD
2020-08-20,TC1,UK Continent to US Atlantic,VLCC,8.659,USD
2020-08-21,TC1,UK Continent to US Atlantic,VLCC,8.897,USD
2020-08-22,TC1,UK Continent to US Atlantic,VLCC,8.812,USD
2020-08-23,TC1,UK Continent to US Atlantic,VLCC,8.812,USD
2020-08-24,TC1,UK Continent to US Atlantic,VLCC,8.731,USD
2020-08-25,TC1,UK Continent to US Atlantic,VLCC,9.026,USD
2020-08-26,TC1,UK Continent to US Atlantic,VLCC,8.817,USD
2020-08-27,TC1,UK Continent to US Atlantic,VLCC,8.835,USD
2020-08-28,TC1,UK Continent to US Atlantic,VLCC,8.947,USD
2020-08-29,TC1,UK Continent to US Atlantic,VLCC,8.671,USD
2020-08-30,TC1,UK Continent to US Atlantic,VLCC,8.523,USD
2020-08-31,TC1,UK Continent to US Atlantic,VLCC,8.517,USD
2020-09-01,TC1,UK Continent to US Atlantic,VLCC,8.378,USD
2020-09-02,TC1,UK Continent to US Atlantic,VLCC,8.254,USD
2020-09-03,TC1,UK Continent to US Atlantic,VLCC,8.215,USD
2020-09-04,TC1,UK Continent to US Atlantic,VLCC,8.358,USD
2020-09-05,TC1,UK Continent to US Atlantic,VLCC,8.321,USD
2020-09-06,TC1,UK Continent to US Atlantic,VLCC,8.541,USD
2020-09-07,TC1,UK Continent to US Atlantic,VLCC,8.384,USD
2020-09-08,TC1,UK Continent to US Atlantic,VLCC,8.183,USD
2020-09-09,TC1,UK Continent to US Atlantic,VLCC,8.56,USD
2020-09-10,TC1,UK Continent to US Atlantic,VLCC,8.466,USD
2020-09-11,TC1,UK Continent to US Atlantic,VLCC,8.255,USD
2020-09-12,TC1,UK Continent to US Atlantic,VLCC,7.969,USD
2020-09-13,TC1,UK Continent to US Atlantic,VLCC,8.195,USD
2020-09-14,TC1,UK Continent to US Atlantic,VLCC,8.164,USD
2020-09-15,TC1,UK Continent to US Atlantic,VLCC,8.149,USD
2020-09-16,TC1,UK Continent to US Atlantic,VLCC,8.152,USD
2020-09-17,TC1,UK Continent to US Atlantic,VLCC,8.367,USD
2020-09-18,TC1,UK Continent to US Atlantic,VLCC,8.365,USD
2020-09-19,TC1,UK Continent to US Atlantic,VLCC,8.82,USD
2020-09-20,TC1,UK Continent to US Atlantic,VLCC,8.871,USD
2020-09-21,TC1,UK Continent to US Atlantic,VLCC,9.089,USD
2020-09-22,TC1,UK Continent to US Atlantic,VLCC,9.26,USD
2020-09-23,TC1,UK Continent to US Atlantic,VLCC,9.277,USD
2020-09-24,TC1,UK Continent to US Atlantic,VLCC,9.195,USD
2020-09-25,TC1,UK Continent to US Atlantic,VLCC,9.281,USD
2020-09-26,TC1,UK Continent to US Atlantic,VLCC,9.398,USD
2020-09-27,TC1,UK Continent to US Atlantic,VLCC,9.319,USD
2020-09-28,TC1,UK Continent to US Atlantic,VLCC,9.375,USD
2020-09-29,TC1,UK Continent to US Atlantic,VLCC,9.624,USD
2020-09-30,TC1,UK Continent to US Atlantic,VLCC,10.021,USD
2020-10-01,TC1,UK Continent to US Atlantic,VLCC,10.196,USD
2020-10-02,TC1,UK Continent to US Atlantic,VLCC,10.551,USD
2020-10-03,TC1,UK Continent to US Atlantic,VLCC,10.453,USD
2020-10-04,TC1,UK Continent to US Atlantic,VLCC,10.597,USD
2020-10-05,TC1,UK Continent to US Atlantic,VLCC,10.855,USD
2020-10-06,TC1,UK Continent to US Atlantic,VLCC,10.707,USD
2020-10-07,TC1,UK Continent to US Atlantic,VLCC,10.635,USD
2020-10-08,TC1,UK Continent to US Atlantic,VLCC,10.966,USD
2020-10-09,TC1,UK Continent to US Atlantic,VLCC,10.804,USD
2020-10-10,TC1,UK Continent to US Atlantic,VLCC,10.578,USD
2020-10-11,TC1,UK Continent to US Atlantic,VLCC,10.873,USD
2020-10-12,TC1,UK Continent to US Atlantic,VLCC,11.105,USD
2020-10-13,TC1,UK Continent to US Atlantic,VLCC,11.198,USD
2020-10-14,TC1,UK Continent to US Atlantic,VLCC,11.204,USD
2020-10-15,TC1,UK Continent to US Atlantic,VLCC,11.139,USD
2020-10-16,TC1,UK Continent to US Atlantic,VLCC,11.205,USD
2020-10-17,TC1,UK Continent to US Atlantic,VLCC,11.506,USD
2020-10-18,TC1,UK Continent to US Atlantic,VLCC,11.562,USD
2020-10-19,TC1,UK Continent to US Atlantic,VLCC,11.966,USD
2020-10-20,TC1,UK Continent to US Atlantic,VLCC,11.812,USD
2020-10-21,TC1,UK Continent to US Atlantic,VLCC,11.82,USD
2020-10-22,TC1,UK Continent to US Atlantic,VLCC,11.763,USD
2020-10-23,TC1,UK Continent to US Atlantic,VLCC,11.579,USD
2020-10-24,TC1,UK Continent to US Atlantic,VLCC,11.566,USD
2020-10-25,TC1,UK Continent to US Atlantic,VLCC,11.656,USD
2020-10-26,TC1,UK Continent to US Atlantic,VLCC,11.765,USD
2020-10-27,TC1,UK Continent to US Atlantic,VLCC,12.171,USD
2020-10-28,TC1,UK Continent to US Atlantic,VLCC,12.265,USD
2020-10-29,TC1,UK Continent to US Atlantic,VLCC,12.482,USD
2020-10-30,TC1,UK Continent to US Atlantic,VLCC,12.502,USD
2020-10-31,TC1,UK Continent to US Atlantic,VLCC,12.813,USD
2020-11-01,TC1,UK Continent to US Atlantic,VLCC,13.251,USD
2020-11-02,TC1,UK Continent to US Atlantic,VLCC,13.348,USD
2020-11-03,TC1,UK Continent to US Atlantic,VLCC,13.169,USD
2020-11-04,TC1,UK Continent to US Atlantic,VLCC,13.072,USD
2020-11-05,TC1,UK Continent to US Atlantic,VLCC,13.127,USD
2020-11-06,TC1,UK Continent to US Atlantic,VLCC,13.213,USD
2020-11-07,TC1,UK Continent to US Atlantic,VLCC,13.342,USD
2020-11-08,TC1,UK Continent to US Atlantic,VLCC,13.427,USD
2020-11-09,TC1,UK Continent to US Atlantic,VLCC,13.429,USD
2020-11-10,TC1,UK Continent to US Atlantic,VLCC,13.316,USD
2020-11-11,TC1,UK Continent to US Atlantic,VLCC,13.392,USD
2020-11-12,TC1,UK Continent to US Atlantic,VLCC,13.73,USD
2020-11-13,TC1,UK Continent to US Atlantic,VLCC,13.913,USD
2020-11-14,TC1,UK Continent to US Atlantic,VLCC,14.008,USD
2020-11-15,TC1,UK Continent to US Atlantic,VLCC,14.191,USD
2020-11-16,TC1,UK Continent to US Atlantic,VLCC,14.12,USD
2020-11-17,TC1,UK Continent to US Atlantic,VLCC,14.025,USD
2020-11-18,TC1,UK Continent to US Atlantic,VLCC,13.888,USD
2020-11-19,TC1,UK Continent to US Atlantic,VLCC,13.864,USD
2020-11-20,TC1,UK Continent to US Atlantic,VLCC,13.788,USD
2020-11-21,TC1,UK Continent to US Atlantic,VLCC,14.007,USD
2020-11-22,TC1,UK Continent to US Atlantic,VLCC,13.92,USD
2020-11-23,TC1,UK Continent to US Atlantic,VLCC,13.775,USD
2020-11-24,TC1,UK Continent to US Atlantic,VLCC,14.128,USD
2020-11-25,TC1,UK Continent to US Atlantic,VLCC,14.045,USD
2020-11-26,TC1,UK Continent to US Atlantic,VLCC,14.072,USD
2020-11-27,TC1,UK Continent to US Atlantic,VLCC,14.153,USD
2020-11-28,TC1,UK Continent to US Atlantic,VLCC,13.946,USD
2020-11-29,TC1,UK Continent to US Atlantic,VLCC,14.17,USD
2020-11-30,TC1,UK Continent to US Atlantic,VLCC,14.284,USD
2020-12-01,TC1,UK Continent to US Atlantic,VLCC,14.564,USD
2020-12-02,TC1,UK Continent to US Atlantic,VLCC,14.436,USD
2020-12-03,TC1,UK Continent to US Atlantic,VLCC,14.451,USD
2020-12-04,TC1,UK Continent to US Atlantic,VLCC,14.454,USD
2020-12-05,TC1,UK Continent to US Atlantic,VLCC,14.499,USD
2020-12-06,TC1,UK Continent to US Atlantic,VLCC,14.232,USD
2020-12-07,TC1,UK Continent to US Atlantic,VLCC,14.251,USD
2020-12-08,TC1,UK Continent to US Atlantic,VLCC,13.993,USD
2020-12-09,TC1,UK Continent to US Atlantic,VLCC,14.059,USD
2020-12-10,TC1,UK Continent to US Atlantic,VLCC,13.676,USD
2020-12-11,TC1,UK Continent to US Atlantic,VLCC,13.346,USD
2020-12-12,TC1,UK Continent to US Atlantic,VLCC,13.502,USD
2020-12-13,TC1,UK Continent to US Atlantic,VLCC,13.41,USD
2020-12-14,TC1,UK Continent to US Atlantic,VLCC,13.24,USD
2020-12-15,TC1,UK Continent to US Atlantic,VLCC,13.479,USD
2020-12-16,TC1,UK Continent to US Atlantic,VLCC,13.545,USD
2020-12-17,TC1,UK Continent to US Atlantic,VLCC,13.709,USD
2020-12-18,TC1,UK Continent to US Atlantic,VLCC,13.684,USD
2020-12-19,TC1,UK Continent to US Atlantic,VLCC,14.174,USD
2020-12-20,TC1,UK Continent to US Atlantic,VLCC,14.065,USD
2020-12-21,TC1,UK Continent to US Atlantic,VLCC,14.382,USD
2020-12-22,TC1,UK Continent to US Atlantic,VLCC,14.369,USD
2020-12-23,TC1,UK Continent to US Atlantic,VLCC,14.068,USD
2020-12-24,TC1,UK Continent to US Atlantic,VLCC,14.157,USD
2020-12-25,TC1,UK Continent to US Atlantic,VLCC,14.214,USD
2020-12-26,TC1,UK Continent to US Atlantic,VLCC,14.024,USD
2020-12-27,TC1,UK Continent to US Atlantic,VLCC,13.859,USD
2020-12-28,TC1,UK Continent to US Atlantic,VLCC,13.857,USD
2020-12-29,TC1,UK Continent to US Atlantic,VLCC,13.924,USD
2020-12-30,TC1,UK Continent to US Atlantic,VLCC,13.479,USD
2020-12-31,TC1,UK Continent to US Atlantic,VLCC,13.677,USD
2021-01-01,TC1,UK Continent to US Atlantic,VLCC,13.592,USD
2021-01-02,TC1,UK Continent to US Atlantic,VLCC,13.357,USD
2021-01-03,TC1,UK Continent to US Atlantic,VLCC,13.534,USD
2021-01-04,TC1,UK Continent to US Atlantic,VLCC,13.536,USD
2021-01-05,TC1,UK Continent to US Atlantic,VLCC,13.761,USD
2021-01-06,TC1,UK Continent to US Atlantic,VLCC,13.844,USD
2021-01-07,TC1,UK Continent to US Atlantic,VLCC,13.846,USD
2021-01-08,TC1,UK Continent to US Atlantic,VLCC,13.82,USD
2021-01-09,TC1,UK Continent to US Atlantic,VLCC,13.909,USD
2021-01-10,TC1,UK Continent to US Atlantic,VLCC,13.836,USD
2021-01-11,TC1,UK Continent to US Atlantic,VLCC,13.683,USD
2021-01-12,TC1,UK Continent to US Atlantic,VLCC,13.797,USD
2021-01-13,TC1,UK Continent to US Atlantic,VLCC,13.772,USD
2021-01-14,TC1,UK Continent to US Atlantic,VLCC,13.78,USD
2021-01-15,TC1,UK Continent to US Atlantic,VLCC,13.979,USD
2021-01-16,TC1,UK Continent to US Atlantic,VLCC,13.957,USD
2021-01-17,TC1,UK Continent to US Atlantic,VLCC,13.959,USD
2021-01-18,TC1,UK Continent to US Atlantic,VLCC,13.85,USD
2021-01-19,TC1,UK Continent to US Atlantic,VLCC,13.928,USD
2021-01-20,TC1,UK Continent to US Atlantic,VLCC,13.99,USD
2021-01-21,TC1,UK Continent to US Atlantic,VLCC,14.151,USD
2021-01-22,TC1,UK Continent to US Atlantic,VLCC,14.042,USD
2021-01-23,TC1,UK Continent to US Atlantic,VLCC,13.956,USD
2021-01-24,TC1,UK Continent to US Atlantic,VLCC,14.097,USD
