origin,dest,volume,cost,distance
ZAF,IDN,107.0,0.5,614
AUS,SAU,101.7,0.62,213
AUS,RUS,108.2,0.84,222
AUS,USA,95.2,0.57,170
AUS,IRQ,90.7,1.01,504
AUS,CAN,98.2,0.75,100
AUS,ARE,107.2,0.5,205
AUS,KWT,105.3,0.5,413
AUS,NGA,101.3,1.19,426
AUS,KAZ,106.0,0.64,100
AUS,VEN,100.2,0.94,661
AUS,AGO,102.7,0.5,457
AUS,DZA,102.9,0.63,365
AUS,OMN,100.5,0.5,426
AUS,QAT,103.7,1.03,100
AUS,MEX,92.4,0.76,633
AUS,NOR,91.3,0.59,697
AUS,BRA,106.6,0.5,573
AUS,IRN,92.8,0.5,100
AUS,LBY,107.5,0.81,100
AUS,GAB,102.7,0.7,605
AUS,ECU,108.3,0.64,175
AUS,COL,105.4,0.63,100
AUS,MYS,93.3,0.92,518
AUS,IDN,91.8,0.95,100
TUR,SAU,97.8,0.5,211
TUR,RUS,108.3,0.94,443
TUR,USA,101.3,0.68,322
TUR,IRQ,109.1,0.5,100
TUR,CAN,94.3,0.5,100
TUR,ARE,93.2,1.03,548
TUR,KWT,99.9,0.8,181
TUR,NGA,102.5,0.68,100
TUR,KAZ,91.5,0.91,100
TUR,VEN,104.1,0.81,100
TUR,AGO,94.9,1.01,100
TUR,DZA,90.0,1.15,100
TUR,OMN,101.8,0.56,100
TUR,QAT,106.1,1.17,100
TUR,MEX,109.0,0.66,514
TUR,NOR,91.7,1.14,100
TUR,BRA,104.6,1.02,426
TUR,IRN,104.5,0.85,100
TUR,LBY,95.0,0.68,354
TUR,GAB,103.9,0.5,237
TUR,ECU,90.8,0.89,410
TUR,COL,110.0,0.78,100
TUR,MYS,108.3,0.5,328
TUR,IDN,104.6,0.5,539
MEX,SAU,109.4,1.16,293
MEX,RUS,104.9,0.5,694
MEX,USA,96.4,1.02,100
MEX,IRQ,103.0,0.57,319
MEX,CAN,92.4,0.5,504
MEX,ARE,100.6,0.64,682
MEX,KWT,91.3,0.5,196
MEX,NGA,100.8,0.86,100
MEX,KAZ,102.5,1.09,125
MEX,VEN,107.5,0.63,438
MEX,AGO,107.4,0.5,458
MEX,DZA,93.7,0.57,307
MEX,OMN,106.0,1.21,100
MEX,QAT,105.3,0.61,100
MEX,NOR,99.6,0.78,447
MEX,BRA,109.7,0.99,620
MEX,IRN,96.7,0.72,276
MEX,LBY,94.8,0.5,100
MEX,GAB,95.9,1.04,100
MEX,ECU,94.7,0.5,404
MEX,COL,108.2,0.5,100
MEX,MYS,97.7,0.88,100
MEX,IDN,109.1,1.02,696
BRA,SAU,91.8,0.6,139
BRA,RUS,107.7,0.82,100
BRA,USA,102.3,0.5,263
BRA,IRQ,91.3,0.58,560
BRA,CAN,103.0,0.81,192
BRA,ARE,92.4,0.5,524
BRA,KWT,94.4,0.5,100
BRA,NGA,106.5,1.01,100
BRA,KAZ,109.4,1.1,100
BRA,VEN,101.9,0.73,590
BRA,AGO,97.9,0.95,100
BRA,DZA,109.9,1.12,438
BRA,OMN,94.5,0.5,100
BRA,QAT,101.9,0.78,309
BRA,MEX,99.1,0.59,334
BRA,NOR,92.6,1.07,620
BRA,IRN,107.0,0.5,162
BRA,LBY,103.1,0.76,654
BRA,GAB,95.6,0.5,100
BRA,ECU,95.2,0.91,301
BRA,COL,100.7,1.16,387
BRA,MYS,103.7,0.5,292
BRA,IDN,91.2,1.07,100
MYS,SAU,183.3,1.19,427
MYS,RUS,103.2,0.75,672
MYS,USA,95.3,1.07,100
MYS,IRQ,107.4,0.5,270
MYS,CAN,107.3,0.92,100
MYS,ARE,94.8,1.12,100
MYS,KWT,102.4,0.96,100
MYS,NGA,107.6,1.18,460
MYS,KAZ,90.6,1.01,100
MYS,VEN,106.4,0.5,250
MYS,AGO,93.2,1.0,417
MYS,DZA,105.1,0.5,661
MYS,OMN,95.7,0.81,100
MYS,QAT,101.2,0.5,565
MYS,MEX,102.7,0.75,374
MYS,NOR,92.6,0.5,154
MYS,BRA,100.8,1.16,530
MYS,IRN,97.8,0.5,100
MYS,LBY,92.1,1.12,563
MYS,GAB,105.4,1.16,100
MYS,ECU,104.2,0.5,605
MYS,COL,99.5,0.5,100
MYS,IDN,90.9,1.05,403
IDN,SAU,103.5,0.65,462
IDN,RUS,92.6,0.94,100
IDN,USA,91.3,1.0,578
IDN,IRQ,99.8,0.97,269
IDN,CAN,90.0,0.5,437
IDN,ARE,109.9,0.65,100
IDN,KWT,107.1,0.74,496
IDN,NGA,103.9,0.5,100
IDN,KAZ,105.5,0.5,158
IDN,VEN,95.5,1.14,447
IDN,AGO,90.6,0.91,100
IDN,DZA,98.4,0.84,473
IDN,OMN,105.2,0.65,206
IDN,QAT,98.2,1.09,226
IDN,MEX,104.9,0.5,492
IDN,NOR,104.3,0.77,191
IDN,BRA,99.5,1.17,129
IDN,IRN,94.1,0.5,219
IDN,LBY,105.4,1.06,100
IDN,GAB,102.5,0.5,392
IDN,ECU,108.2,1.18,615
IDN,COL,105.9,0.69,100
IDN,MYS,102.0,0.81,551
POL,SAU,98.6,0.5,655
POL,RUS,91.3,0.76,100
POL,USA,101.8,0.64,100
POL,IRQ,99.1,0.5,100
POL,CAN,103.6,0.6,194
POL,ARE,102.0,0.5,100
POL,KWT,105.1,1.16,124
POL,NGA,90.8,0.66,100
POL,KAZ,92.9,0.5,100
POL,VEN,92.8,0.68,100
POL,AGO,94.2,0.53,635
POL,DZA,90.2,0.51,100
POL,OMN,100.7,1.08,625
POL,QAT,90.7,0.5,617
POL,MEX,96.4,1.17,100
POL,NOR,103.8,1.01,693
POL,BRA,90.8,0.85,571
POL,IRN,102.7,0.91,601
POL,LBY,101.9,0.82,100
POL,GAB,100.8,0.91,100
POL,ECU,108.9,0.84,100
POL,COL,96.8,1.01,100
POL,MYS,103.2,0.76,100
POL,IDN,106.3,0.66,214
BEL,SAU,90.8,0.5,100
BEL,RUS,91.6,0.5,100
BEL,USA,103.0,0.69,100
BEL,IRQ,94.4,1.16,100
BEL,CAN,104.9,1.08,100
BEL,ARE,103.2,0.7,293
BEL,KWT,90.4,0.83,248
BEL,NGA,109.9,1.19,342
BEL,KAZ,91.6,0.59,144
BEL,VEN,91.4,0.5,100
BEL,AGO,106.8,0.5,424
BEL,DZA,104.5,0.95,103
BEL,OMN,102.6,0.94,100
BEL,QAT,109.8,0.5,388
BEL,MEX,100.3,0.79,100
BEL,NOR,104.5,0.7,277
BEL,BRA,102.0,1.0,100
BEL,IRN,95.5,0.78,100
BEL,LBY,97.2,0.58,229
BEL,GAB,102.6,0.94,566
BEL,ECU,105.5,0.62,177
BEL,COL,93.6,0.5,100
BEL,MYS,100.3,0.61,633
BEL,IDN,99.8,0.5,527
SWE,SAU,98.1,0.79,100
SWE,RUS,97.2,0.79,537
SWE,USA,103.0,0.52,100
SWE,IRQ,95.2,0.85,148
SWE,CAN,105.5,0.5,100
SWE,ARE,94.7,0.5,100
SWE,KWT,91.5,0.5,669
SWE,NGA,99.0,0.87,100
SWE,KAZ,98.6,0.5,382
SWE,VEN,109.0,0.5,585
SWE,AGO,93.4,0.5,632
SWE,DZA,97.1,0.73,100
SWE,OMN,106.9,1.02,100
SWE,QAT,107.3,0.77,100
SWE,MEX,92.2,0.5,341
SWE,NOR,92.5,0.5,100
SWE,BRA,90.8,0.5,100
SWE,IRN,93.6,0.5,100
SWE,LBY,100.1,0.5,189
SWE,GAB,97.9,0.68,100
SWE,ECU,90.1,1.13,100
SWE,COL,109.5,0.8,100
SWE,MYS,100.3,0.69,127
SWE,IDN,100.6,0.5,337
