date,country,demand_kbpd,year,month,day
2020-03-25,AGO,285.8,2020,3,25
2020-03-26,AGO,264.8,2020,3,26
2020-03-27,AGO,294.9,2020,3,27
2020-03-28,AGO,291.6,2020,3,28
2020-03-29,AGO,275.4,2020,3,29
2020-03-30,AGO,269.9,2020,3,30
2020-03-31,AGO,274.2,2020,3,31
2020-04-01,AGO,273.5,2020,4,1
2020-04-02,AGO,280.6,2020,4,2
2020-04-03,AGO,274.8,2020,4,3
2020-04-04,AGO,243.6,2020,4,4
2020-04-05,AGO,263.5,2020,4,5
2020-04-06,AGO,275.4,2020,4,6
2020-04-07,AGO,264.1,2020,4,7
2020-04-08,AGO,259.5,2020,4,8
2020-04-09,AGO,256.7,2020,4,9
2020-04-10,AGO,282.5,2020,4,10
2020-04-11,AGO,264.4,2020,4,11
2020-04-12,AGO,253.6,2020,4,12
2020-04-13,AGO,265.9,2020,4,13
2020-04-14,AGO,284.0,2020,4,14
2020-04-15,AGO,278.2,2020,4,15
2020-04-16,AGO,276.9,2020,4,16
2020-04-17,AGO,257.1,2020,4,17
2020-04-18,AGO,252.3,2020,4,18
2020-04-19,AGO,267.1,2020,4,19
2020-04-20,AGO,272.5,2020,4,20
2020-04-21,AGO,275.3,2020,4,21
2020-04-22,AGO,268.7,2020,4,22
2020-04-23,AGO,273.2,2020,4,23
2020-04-24,AGO,270.8,2020,4,24
2020-04-25,AGO,273.2,2020,4,25
2020-04-26,AGO,275.9,2020,4,26
2020-04-27,AGO,257.8,2020,4,27
2020-04-28,AGO,279.5,2020,4,28
2020-04-29,AGO,284.8,2020,4,29
2020-04-30,AGO,272.4,2020,4,30
2020-05-01,AGO,267.5,2020,5,1
2020-05-02,AGO,276.4,2020,5,2
2020-05-03,AGO,259.8,2020,5,3
2020-05-04,AGO,275.6,2020,5,4
2020-05-05,AGO,277.0,2020,5,5
2020-05-06,AGO,285.5,2020,5,6
2020-05-07,AGO,261.5,2020,5,7
2020-05-08,AGO,273.0,2020,5,8
2020-05-09,AGO,267.4,2020,5,9
2020-05-10,AGO,269.3,2020,5,10
2020-05-11,AGO,266.4,2020,5,11
2020-05-12,AGO,279.6,2020,5,12
2020-05-13,AGO,285.7,2020,5,13
2020-05-14,AGO,276.3,2020,5,14
2020-05-15,AGO,266.6,2020,5,15
2020-05-16,AGO,256.8,2020,5,16
2020-05-17,AGO,273.7,2020,5,17
2020-05-18,AGO,276.9,2020,5,18
2020-05-19,AGO,277.6,2020,5,19
2020-05-20,AGO,271.0,2020,5,20
2020-05-21,AGO,286.4,2020,5,21
2020-05-22,AGO,279.8,2020,5,22
2020-05-23,AGO,271.6,2020,5,23
2020-05-24,AGO,254.6,2020,5,24
2020-05-25,AGO,274.5,2020,5,25
2020-05-26,AGO,292.2,2020,5,26
2020-05-27,AGO,271.4,2020,5,27
2020-05-28,AGO,273.4,2020,5,28
2020-05-29,AGO,280.9,2020,5,29
2020-05-30,AGO,254.2,2020,5,30
2020-05-31,AGO,262.0,2020,5,31
2020-06-01,AGO,279.9,2020,6,1
2020-06-02,AGO,302.7,2020,6,2
2020-06-03,AGO,296.0,2020,6,3
2020-06-04,AGO,280.6,2020,6,4
2020-06-05,AGO,287.8,2020,6,5
2020-06-06,AGO,276.0,2020,6,6
2020-06-07,AGO,259.3,2020,6,7
2020-06-08,AGO,301.3,2020,6,8
2020-06-09,AGO,279.4,2020,6,9
2020-06-10,AGO,316.1,2020,6,10
2020-06-11,AGO,287.0,2020,6,11
2020-06-12,AGO,307.4,2020,6,12
2020-06-13,AGO,307.4,2020,6,13
2020-06-14,AGO,270.4,2020,6,14
2020-06-15,AGO,297.8,2020,6,15
2020-06-16,AGO,300.2,2020,6,16
2020-06-17,AGO,288.6,2020,6,17
2020-06-18,AGO,300.0,2020,6,18
2020-06-19,AGO,286.6,2020,6,19
2020-06-20,AGO,270.3,2020,6,20
2020-06-21,AGO,274.5,2020,6,21
2020-06-22,AGO,280.0,2020,6,22
2020-06-23,AGO,294.5,2020,6,23
2020-06-24,AGO,298.3,2020,6,24
2020-06-25,AGO,274.1,2020,6,25
2020-06-26,AGO,308.3,2020,6,26
2020-06-27,AGO,285.1,2020,6,27
2020-06-28,AGO,269.9,2020,6,28
2020-06-29,AGO,291.0,2020,6,29
2020-06-30,AGO,296.1,2020,6,30
2020-07-01,AGO,285.8,2020,7,1
2020-07-02,AGO,308.9,2020,7,2
2020-07-03,AGO,294.5,2020,7,3
2020-07-04,AGO,289.6,2020,7,4
2020-07-05,AGO,297.4,2020,7,5
2020-07-06,AGO,310.2,2020,7,6
2020-07-07,AGO,320.9,2020,7,7
2020-07-08,AGO,278.9,2020,7,8
2020-07-09,AGO,300.8,2020,7,9
2020-07-10,AGO,291.0,2020,7,10
2020-07-11,AGO,300.4,2020,7,11
2020-07-12,AGO,279.4,2020,7,12
2020-07-13,AGO,294.4,2020,7,13
2020-07-14,AGO,295.6,2020,7,14
2020-07-15,AGO,292.8,2020,7,15
2020-07-16,AGO,307.8,2020,7,16
2020-07-17,AGO,292.2,2020,7,17
2020-07-18,AGO,284.2,2020,7,18
2020-07-19,AGO,272.2,2020,7,19
2020-07-20,AGO,292.5,2020,7,20
2020-07-21,AGO,287.4,2020,7,21
2020-07-22,AGO,321.6,2020,7,22
2020-07-23,AGO,303.3,2020,7,23
2020-07-24,AGO,286.4,2020,7,24
2020-07-25,AGO,306.9,2020,7,25
2020-07-26,AGO,292.4,2020,7,26
2020-07-27,AGO,303.5,2020,7,27
2020-07-28,AGO,288.0,2020,7,28
2020-07-29,AGO,287.4,2020,7,29
2020-07-30,AGO,301.3,2020,7,30
2020-07-31,AGO,303.0,2020,7,31
2020-08-01,AGO,301.7,2020,8,1
2020-08-02,AGO,300.6,2020,8,2
2020-08-03,AGO,281.1,2020,8,3
2020-08-04,AGO,304.4,2020,8,4
2020-08-05,AGO,283.7,2020,8,5
2020-08-06,AGO,297.3,2020,8,6
2020-08-07,AGO,294.5,2020,8,7
2020-08-08,AGO,280.2,2020,8,8
2020-08-09,AGO,292.9,2020,8,9
2020-08-10,AGO,307.9,2020,8,10
2020-08-11,AGO,296.3,2020,8,11
2020-08-12,AGO,293.7,2020,8,12
2020-08-13,AGO,305.8,2020,8,13
2020-08-14,AGO,319.5,2020,8,14
2020-08-15,AGO,293.8,2020,8,15
2020-08-16,AGO,291.7,2020,8,16
2020-08-17,AGO,288.5,2020,8,17
2020-08-18,AGO,273.0,2020,8,18
2020-08-19,AGO,301.4,2020,8,19
2020-08-20,AGO,294.1,2020,8,20
2020-08-21,AGO,293.6,2020,8,21
2020-08-22,AGO,288.9,2020,8,22
2020-08-23,AGO,293.4,2020,8,23
2020-08-24,AGO,301.8,2020,8,24
2020-08-25,AGO,291.9,2020,8,25
2020-08-26,AGO,303.1,2020,8,26
2020-08-27,AGO,297.1,2020,8,27
2020-08-28,AGO,306.8,2020,8,28
2020-08-29,AGO,287.4,2020,8,29
2020-08-30,AGO,306.7,2020,8,30
2020-08-31,AGO,284.9,2020,8,31
2020-09-01,AGO,267.3,2020,9,1
2020-09-02,AGO,316.9,2020,9,2
2020-09-03,AGO,278.2,2020,9,3
2020-09-04,AGO,280.5,2020,9,4
2020-09-05,AGO,259.0,2020,9,5
2020-09-06,AGO,273.3,2020,9,6
2020-09-07,AGO,282.2,2020,9,7
2020-09-08,AGO,278.7,2020,9,8
2020-09-09,AGO,287.9,2020,9,9
2020-09-10,AGO,289.0,2020,9,10
2020-09-11,AGO,291.8,2020,9,11
2020-09-12,AGO,278.9,2020,9,12
2020-09-13,AGO,261.0,2020,9,13
2020-09-14,AGO,291.9,2020,9,14
2020-09-15,AGO,287.0,2020,9,15
2020-09-16,AGO,278.3,2020,9,16
2020-09-17,AGO,285.4,2020,9,17
2020-09-18,AGO,280.4,2020,9,18
2020-09-19,AGO,263.6,2020,9,19
2020-09-20,AGO,275.5,2020,9,20
2020-09-21,AGO,270.0,2020,9,21
2020-09-22,AGO,270.7,2020,9,22
2020-09-23,AGO,274.0,2020,9,23
2020-09-24,AGO,268.2,2020,9,24
2020-09-25,AGO,282.0,2020,9,25
2020-09-26,AGO,276.6,2020,9,26
2020-09-27,AGO,267.5,2020,9,27
2020-09-28,AGO,279.8,2020,9,28
2020-09-29,AGO,275.9,2020,9,29
2020-09-30,AGO,281.5,2020,9,30
2020-10-01,AGO,267.7,2020,10,1
2020-10-02,AGO,273.6,2020,10,2
2020-10-03,AGO,267.3,2020,10,3
2020-10-04,AGO,253.4,2020,10,4
2020-10-05,AGO,284.6,2020,10,5
2020-10-06,AGO,274.6,2020,10,6
2020-10-07,AGO,262.5,2020,10,7
2020-10-08,AGO,278.1,2020,10,8
2020-10-09,AGO,262.1,2020,10,9
2020-10-10,AGO,267.6,2020,10,10
2020-10-11,AGO,257.6,2020,10,11
2020-10-12,AGO,271.4,2020,10,12
2020-10-13,AGO,278.3,2020,10,13
2020-10-14,AGO,276.7,2020,10,14
2020-10-15,AGO,272.0,2020,10,15
2020-10-16,AGO,285.6,2020,10,16
2020-10-17,AGO,251.6,2020,10,17
2020-10-18,AGO,259.7,2020,10,18
2020-10-19,AGO,278.8,2020,10,19
2020-10-20,AGO,266.6,2020,10,20
2020-10-21,AGO,273.2,2020,10,21
2020-10-22,AGO,279.1,2020,10,22
2020-10-23,AGO,289.3,2020,10,23
2020-10-24,AGO,280.8,2020,10,24
2020-10-25,AGO,266.9,2020,10,25
2020-10-26,AGO,281.6,2020,10,26
2020-10-27,AGO,265.2,2020,10,27
2020-10-28,AGO,258.2,2020,10,28
2020-10-29,AGO,262.5,2020,10,29
2020-10-30,AGO,281.8,2020,10,30
2020-10-31,AGO,266.1,2020,10,31
2020-11-01,AGO,274.2,2020,11,1
2020-11-02,AGO,269.4,2020,11,2
2020-11-03,AGO,266.0,2020,11,3
2020-11-04,AGO,277.3,2020,11,4
2020-11-05,AGO,273.2,2020,11,5
2020-11-06,AGO,278.7,2020,11,6
2020-11-07,AGO,274.0,2020,11,7
2020-11-08,AGO,263.8,2020,11,8
2020-11-09,AGO,290.5,2020,11,9
2020-11-10,AGO,268.3,2020,11,10
2020-11-11,AGO,287.3,2020,11,11
2020-11-12,AGO,259.5,2020,11,12
2020-11-13,AGO,274.7,2020,11,13
2020-11-14,AGO,269.1,2020,11,14
2020-11-15,AGO,262.8,2020,11,15
2020-11-16,AGO,277.3,2020,11,16
2020-11-17,AGO,274.0,2020,11,17
2020-11-18,AGO,278.0,2020,11,18
2020-11-19,AGO,281.7,2020,11,19
2020-11-20,AGO,280.7,2020,11,20
2020-11-21,AGO,267.6,2020,11,21
2020-11-22,AGO,256.2,2020,11,22
2020-11-23,AGO,278.7,2020,11,23
2020-11-24,AGO,279.6,2020,11,24
2020-11-25,AGO,277.1,2020,11,25
2020-11-26,AGO,283.6,2020,11,26
2020-11-27,AGO,272.2,2020,11,27
2020-11-28,AGO,279.5,2020,11,28
2020-11-29,AGO,252.7,2020,11,29
2020-11-30,AGO,281.0,2020,11,30
2020-12-01,AGO,289.1,2020,12,1
2020-12-02,AGO,294.3,2020,12,2
2020-12-03,AGO,316.0,2020,12,3
2020-12-04,AGO,283.7,2020,12,4
2020-12-05,AGO,283.7,2020,12,5
2020-12-06,AGO,287.2,2020,12,6
2020-12-07,AGO,288.1,2020,12,7
2020-12-08,AGO,274.0,2020,12,8
2020-12-09,AGO,296.6,2020,12,9
2020-12-10,AGO,293.3,2020,12,10
2020-12-11,AGO,276.2,2020,12,11
2020-12-12,AGO,292.3,2020,12,12
2020-12-13,AGO,281.6,2020,12,13
2020-12-14,AGO,292.4,2020,12,14
2020-12-15,AGO,283.3,2020,12,15
2020-12-16,AGO,291.5,2020,12,16
2020-12-17,AGO,296.1,2020,12,17
2020-12-18,AGO,279.8,2020,12,18
2020-12-19,AGO,291.8,2020,12,19
2020-12-20,AGO,280.8,2020,12,20
2020-12-21,AGO,286.9,2020,12,21
2020-12-22,AGO,290.4,2020,12,22
2020-12-23,AGO,282.1,2020,12,23
2020-12-24,AGO,301.1,2020,12,24
2020-12-25,AGO,289.8,2020,12,25
2020-12-26,AGO,287.6,2020,12,26
2020-12-27,AGO,273.1,2020,12,27
2020-12-28,AGO,290.0,2020,12,28
2020-12-29,AGO,280.8,2020,12,29
2020-12-30,AGO,305.1,2020,12,30
2020-12-31,AGO,290.7,2020,12,31
2021-01-01,AGO,281.2,2021,1,1
2021-01-02,AGO,305.8,2021,1,2
2021-01-03,AGO,283.3,2021,1,3
2021-01-04,AGO,272.8,2021,1,4
2021-01-05,AGO,279.1,2021,1,5
2021-01-06,AGO,293.4,2021,1,6
2021-01-07,AGO,306.5,2021,1,7
2021-01-08,AGO,293.2,2021,1,8
2021-01-09,AGO,292.3,2021,1,9
2021-01-10,AGO,288.4,2021,1,10
2021-01-11,AGO,306.7,2021,1,11
2021-01-12,AGO,268.6,2021,1,12
2021-01-13,AGO,296.4,2021,1,13
2021-01-14,AGO,304.5,2021,1,14
2021-01-15,AGO,274.4,2021,1,15
2021-01-16,AGO,284.3,2021,1,16
2021-01-17,AGO,282.7,2021,1,17
2021-01-18,AGO,275.6,2021,1,18
2021-01-19,AGO,290.9,2021,1,19
2021-01-20,AGO,295.0,2021,1,20
2021-01-21,AGO,289.4,2021,1,21
2021-01-22,AGO,279.4,2021,1,22
2021-01-23,AGO,295.7,2021,1,23
2021-01-24,AGO,276.0,2021,1,24
2021-01-25,AGO,301.5,2021,1,25
2021-01-26,AGO,289.7,2021,1,26
2021-01-27,AGO,313.3,2021,1,27
2021-01-28,AGO,288.4,2021,1,28
2021-01-29,AGO,287.6,2021,1,29
2021-01-30,AGO,287.9,2021,1,30
2021-01-31,AGO,300.8,2021,1,31
2021-02-01,AGO,279.7,2021,2,1
2021-02-02,AGO,296.8,2021,2,2
2021-02-03,AGO,304.2,2021,2,3
2021-02-04,AGO,296.6,2021,2,4
2021-02-05,AGO,304.9,2021,2,5
2021-02-06,AGO,303.5,2021,2,6
2021-02-07,AGO,283.4,2021,2,7
2021-02-08,AGO,281.9,2021,2,8
2021-02-09,AGO,282.4,2021,2,9
2021-02-10,AGO,308.7,2021,2,10
2021-02-11,AGO,294.4,2021,2,11
2021-02-12,AGO,302.8,2021,2,12
2021-02-13,AGO,265.0,2021,2,13
2021-02-14,AGO,280.6,2021,2,14
2021-02-15,AGO,304.7,2021,2,15
2021-02-16,AGO,277.0,2021,2,16
2021-02-17,AGO,288.0,2021,2,17
2021-02-18,AGO,297.3,2021,2,18
2021-02-19,AGO,287.9,2021,2,19
2021-02-20,AGO,276.3,2021,2,20
2021-02-21,AGO,288.9,2021,2,21
2021-02-22,AGO,292.8,2021,2,22
2021-02-23,AGO,292.5,2021,2,23
2021-02-24,AGO,286.5,2021,2,24
2021-02-25,AGO,293.8,2021,2,25
2021-02-26,AGO,298.8,2021,2,26
2021-02-27,AGO,301.5,2021,2,27
2021-02-28,AGO,291.1,2021,2,28
2021-03-01,AGO,283.7,2021,3,1
2021-03-02,AGO,285.7,2021,3,2
2021-03-03,AGO,295.5,2021,3,3
2021-03-04,AGO,282.6,2021,3,4
2021-03-05,AGO,281.7,2021,3,5
2021-03-06,AGO,291.2,2021,3,6
2021-03-07,AGO,293.3,2021,3,7
2021-03-08,AGO,296.4,2021,3,8
2021-03-09,AGO,286.9,2021,3,9
2021-03-10,AGO,285.6,2021,3,10
2021-03-11,AGO,282.0,2021,3,11
2021-03-12,AGO,297.0,2021,3,12
2021-03-13,AGO,290.3,2021,3,13
2021-03-14,AGO,279.6,2021,3,14
2021-03-15,AGO,288.2,2021,3,15
2021-03-16,AGO,288.3,2021,3,16
2021-03-17,AGO,277.5,2021,3,17
2021-03-18,AGO,283.1,2021,3,18
2021-03-19,AGO,278.4,2021,3,19
2021-03-20,AGO,271.5,2021,3,20
2021-03-21,AGO,264.3,2021,3,21
2021-03-22,AGO,293.7,2021,3,22
2021-03-23,AGO,288.3,2021,3,23
2021-03-24,AGO,280.5,2021,3,24
2021-03-25,AGO,291.4,2021,3,25
2021-03-26,AGO,292.4,2021,3,26
2021-03-27,AGO,289.1,2021,3,27
2021-03-28,AGO,271.6,2021,3,28
2021-03-29,AGO,283.5,2021,3,29
2021-03-30,AGO,281.1,2021,3,30
2021-03-31,AGO,277.4,2021,3,31
2021-04-01,AGO,287.6,2021,4,1
2021-04-02,AGO,280.2,2021,4,2
2021-04-03,AGO,262.3,2021,4,3
2021-04-04,AGO,286.9,2021,4,4
2021-04-05,AGO,265.6,2021,4,5
2021-04-06,AGO,280.0,2021,4,6
2021-04-07,AGO,269.2,2021,4,7
2021-04-08,AGO,273.0,2021,4,8
2021-04-09,AGO,281.7,2021,4,9
2021-04-10,AGO,295.3,2021,4,10
2021-04-11,AGO,276.7,2021,4,11
2021-04-12,AGO,282.5,2021,4,12
2021-04-13,AGO,287.2,2021,4,13
2021-04-14,AGO,256.0,2021,4,14
2021-04-15,AGO,292.0,2021,4,15
2021-04-16,AGO,288.9,2021,4,16
2021-04-17,AGO,273.4,2021,4,17
2021-04-18,AGO,258.4,2021,4,18
2021-04-19,AGO,284.1,2021,4,19
2021-04-20,AGO,295.5,2021,4,20
2021-04-21,AGO,280.5,2021,4,21
2021-04-22,AGO,273.2,2021,4,22
2021-04-23,AGO,269.5,2021,4,23
2021-04-24,AGO,262.1,2021,4,24
2021-04-25,AGO,266.0,2021,4,25
2021-04-26,AGO,277.8,2021,4,26
2021-04-27,AGO,281.4,2021,4,27
2021-04-28,AGO,267.8,2021,4,28
2021-04-29,AGO,264.9,2021,4,29
2021-04-30,AGO,287.5,2021,4,30
2021-05-01,AGO,286.7,2021,5,1
2021-05-02,AGO,270.8,2021,5,2
2021-05-03,AGO,276.6,2021,5,3
2021-05-04,AGO,286.1,2021,5,4
2021-05-05,AGO,286.5,2021,5,5
2021-05-06,AGO,274.3,2021,5,6
2021-05-07,AGO,297.8,2021,5,7
2021-05-08,AGO,264.7,2021,5,8
2021-05-09,AGO,261.7,2021,5,9
2021-05-10,AGO,272.8,2021,5,10
2021-05-11,AGO,288.0,2021,5,11
2021-05-12,AGO,280.2,2021,5,12
2021-05-13,AGO,265.2,2021,5,13
2021-05-14,AGO,288.0,2021,5,14
2021-05-15,AGO,276.9,2021,5,15
2021-05-16,AGO,263.0,2021,5,16
2021-05-17,AGO,287.1,2021,5,17
2021-05-18,AGO,297.2,2021,5,18
2021-05-19,AGO,282.6,2021,5,19
2021-05-20,AGO,294.1,2021,5,20
2021-05-21,AGO,288.3,2021,5,21
2021-05-22,AGO,275.8,2021,5,22
2021-05-23,AGO,258.0,2021,5,23
2021-05-24,AGO,285.1,2021,5,24
2021-05-25,AGO,280.2,2021,5,25
2021-05-26,AGO,286.2,2021,5,26
2021-05-27,AGO,275.9,2021,5,27
2021-05-28,AGO,280.9,2021,5,28
2021-05-29,AGO,277.4,2021,5,29
2021-05-30,AGO,273.9,2021,5,30
2021-05-31,AGO,293.1,2021,5,31
2021-06-01,AGO,308.4,2021,6,1
2021-06-02,AGO,309.4,2021,6,2
2021-06-03,AGO,303.5,2021,6,3
2021-06-04,AGO,309.9,2021,6,4
2021-06-05,AGO,291.1,2021,6,5
2021-06-06,AGO,292.6,2021,6,6
2021-06-07,AGO,303.0,2021,6,7
2021-06-08,AGO,291.1,2021,6,8
2021-06-09,AGO,278.7,2021,6,9
2021-06-10,AGO,297.8,2021,6,10
2021-06-11,AGO,301.5,2021,6,11
2021-06-12,AGO,291.6,2021,6,12
2021-06-13,AGO,277.3,2021,6,13
2021-06-14,AGO,300.1,2021,6,14
2021-06-15,AGO,310.3,2021,6,15
2021-06-16,AGO,279.4,2021,6,16
2021-06-17,AGO,296.5,2021,6,17
2021-06-18,AGO,300.1,2021,6,18
2021-06-19,AGO,276.7,2021,6,19
2021-06-20,AGO,280.5,2021,6,20
2021-06-21,AGO,312.0,2021,6,21
2021-06-22,AGO,282.7,2021,6,22
2021-06-23,AGO,285.3,2021,6,23
2021-06-24,AGO,299.2,2021,6,24
2021-06-25,AGO,277.6,2021,6,25
2021-06-26,AGO,279.1,2021,6,26
2021-06-27,AGO,280.5,2021,6,27
2021-06-28,AGO,292.6,2021,6,28
2021-06-29,AGO,282.2,2021,6,29
2021-06-30,AGO,305.3,2021,6,30
2021-07-01,AGO,318.4,2021,7,1
2021-07-02,AGO,290.5,2021,7,2
2021-07-03,AGO,276.6,2021,7,3
2021-07-04,AGO,287.5,2021,7,4
2021-07-05,AGO,314.2,2021,7,5
2021-07-06,AGO,309.2,2021,7,6
2021-07-07,AGO,312.2,2021,7,7
2021-07-08,AGO,305.2,2021,7,8
2021-07-09,AGO,302.9,2021,7,9
2021-07-10,AGO,278.4,2021,7,10
2021-07-11,AGO,289.8,2021,7,11
2021-07-12,AGO,312.4,2021,7,12
2021-07-13,AGO,314.0,2021,7,13
2021-07-14,AGO,309.8,2021,7,14
2021-07-15,AGO,297.8,2021,7,15
2021-07-16,AGO,289.9,2021,7,16
2021-07-17,AGO,290.0,2021,7,17
2021-07-18,AGO,285.6,2021,7,18
2021-07-19,AGO,300.7,2021,7,19
2021-07-20,AGO,307.6,2021,7,20
2021-07-21,AGO,304.1,2021,7,21
2021-07-22,AGO,312.5,2021,7,22
2021-07-23,AGO,294.9,2021,7,23
2021-07-24,AGO,289.2,2021,7,24
2021-07-25,AGO,295.4,2021,7,25
2021-07-26,AGO,310.9,2021,7,26
2021-07-27,AGO,326.5,2021,7,27
2021-07-28,AGO,315.9,2021,7,28
2021-07-29,AGO,300.9,2021,7,29
2021-07-30,AGO,315.2,2021,7,30
2021-07-31,AGO,302.9,2021,7,31
2021-08-01,AGO,276.2,2021,8,1
2021-08-02,AGO,287.3,2021,8,2
2021-08-03,AGO,298.1,2021,8,3
2021-08-04,AGO,296.3,2021,8,4
2021-08-05,AGO,310.6,2021,8,5
2021-08-06,AGO,296.5,2021,8,6
2021-08-07,AGO,312.1,2021,8,7
2021-08-08,AGO,280.9,2021,8,8
2021-08-09,AGO,313.9,2021,8,9
2021-08-10,AGO,305.4,2021,8,10
2021-08-11,AGO,308.3,2021,8,11
2021-08-12,AGO,305.6,2021,8,12
2021-08-13,AGO,311.7,2021,8,13
2021-08-14,AGO,292.0,2021,8,14
2021-08-15,AGO,297.5,2021,8,15
2021-08-16,AGO,302.0,2021,8,16
2021-08-17,AGO,307.6,2021,8,17
2021-08-18,AGO,295.8,2021,8,18
2021-08-19,AGO,309.5,2021,8,19
2021-08-20,AGO,298.5,2021,8,20
2021-08-21,AGO,288.3,2021,8,21
2021-08-22,AGO,298.4,2021,8,22
2021-08-23,AGO,310.7,2021,8,23
2021-08-24,AGO,302.9,2021,8,24
2021-08-25,AGO,286.8,2021,8,25
2021-08-26,AGO,304.3,2021,8,26
2021-08-27,AGO,285.6,2021,8,27
2021-08-28,AGO,287.3,2021,8,28
2021-08-29,AGO,303.8,2021,8,29
2021-08-30,AGO,296.2,2021,8,30
2021-08-31,AGO,305.8,2021,8,31
2021-09-01,AGO,289.2,2021,9,1
2021-09-02,AGO,282.9,2021,9,2
2021-09-03,AGO,282.2,2021,9,3
2021-09-04,AGO,266.2,2021,9,4
2021-09-05,AGO,271.4,2021,9,5
2021-09-06,AGO,295.3,2021,9,6
2021-09-07,AGO,283.9,2021,9,7
2021-09-08,AGO,275.3,2021,9,8
2021-09-09,AGO,286.7,2021,9,9
2021-09-10,AGO,285.0,2021,9,10
2021-09-11,AGO,267.4,2021,9,11
2021-09-12,AGO,280.9,2021,9,12
2021-09-13,AGO,285.8,2021,9,13
2021-09-14,AGO,278.7,2021,9,14
2021-09-15,AGO,293.3,2021,9,15
2021-09-16,AGO,283.6,2021,9,16
2021-09-17,AGO,285.9,2021,9,17
2021-09-18,AGO,271.6,2021,9,18
2021-09-19,AGO,272.0,2021,9,19
2021-09-20,AGO,285.9,2021,9,20
2021-09-21,AGO,283.4,2021,9,21
2021-09-22,AGO,299.1,2021,9,22
2021-09-23,AGO,272.8,2021,9,23
2021-09-24,AGO,288.1,2021,9,24
2021-09-25,AGO,270.8,2021,9,25
2021-09-26,AGO,274.6,2021,9,26
2021-09-27,AGO,274.7,2021,9,27
2021-09-28,AGO,276.4,2021,9,28
